Unnamed: 0,regionno,regionname,year,gdpcap,sec.agriculture,sec.energy,sec.industry,sec.construction,sec.services.venta,sec.services.nonventa,school.illit,school.prim,school.med,school.high,school.post.high,popdens,invest
1,1,Spain (Espana),1955,2.35454163800577,,,,,,,,,,,,,
2,1,Spain (Espana),1956,2.48014858129262,,,,,,,,,,,,,
3,1,Spain (Espana),1957,2.6036131487543703,,,,,,,,,,,,,
4,1,Spain (Espana),1958,2.63710359749335,,,,,,,,,,,,,
5,1,Spain (Espana),1959,2.6698801388777302,,,,,,,,,,,,,
6,1,Spain (Espana),1960,2.8699657502292903,,,,,,,,,,,,,
7,1,Spain (Espana),1961,3.04748635399651,19.5400009155273,4.71000003814697,26.4200000762939,6.26999998092651,36.6199989318848,6.44000005722046,,,,,,,
8,1,Spain (Espana),1962,3.27327916772663,,,,,,,,,,,,,
9,1,Spain (Espana),1963,3.49350193506375,19.0499992370605,4.30999994277954,26.0499992370605,6.82999992370605,38.0,5.76999998092651,,,,,,,
10,1,Spain (Espana),1964,3.600114279221,,,,,,,2863.2783203125,18679.095703125,1064.24572753906,359.745727539062,212.143417358398,,18.360183715820302
11,1,Spain (Espana),1965,3.7007998412284,16.1599998474121,4.30999994277954,27.010000228881804,7.639999866485599,38.4000015258789,6.48000001907349,2826.32153320312,18805.349609375,1129.03112792969,377.947143554688,218.0,,20.5730609893799
12,1,Spain (Espana),1966,3.82347902343192,,,,,,,2789.84204101562,18959.24609375,1201.23583984375,398.72537231445295,224.335403442383,,22.263000488281197
13,1,Spain (Espana),1967,3.93966025401783,14.119999885559098,4.1399998664856,26.739999771118196,7.67000007629395,39.569999694824205,7.7600002288818395,2753.83325195312,19178.095703125,1285.103515625,422.267883300781,231.975006103516,,22.634765625
14,1,Spain (Espana),1968,4.17373600567249,,,,,,,2718.2890625,19319.001953125,1487.38073730469,447.32107543945295,236.050003051758,,23.112615585327102
15,1,Spain (Espana),1969,4.41052573846089,12.8100004196167,4.13000011444092,26.7700004577637,7.84000015258789,40.060001373291,8.39000034332275,2683.20385742188,19459.55859375,1696.14685058594,474.941162109375,252.25,66.33999633789061,23.8235015869141
16,1,Spain (Espana),1970,4.591688228586481,,,,,,,,,,,,,23.4512672424316
17,1,Spain (Espana),1971,4.7690658765464295,,,,,,,,,,,,,21.700725555419897
18,1,Spain (Espana),1972,5.074264321521981,,,,,,,,,,,,,23.083499908447298
19,1,Spain (Espana),1973,5.3735362022681,,,,,,,,,,,,,24.4110679626465
20,1,Spain (Espana),1974,5.506783654028539,,,,,,,,,,,,,25.054624557495103
21,1,Spain (Espana),1975,5.632604813105849,,,,,,,,,,,,,23.150329589843803
22,1,Spain (Espana),1976,5.69744355267915,,,,,,,,,,,,,22.437141418457
23,1,Spain (Espana),1977,5.75949726905594,,,,,,,,,,,,,21.735496520996104
24,1,Spain (Espana),1978,5.71665236759921,,,,,,,,,,,,,21.0691146850586
25,1,Spain (Espana),1979,5.68723223679953,,,,,,,,,,,,,20.0666217803955
26,1,Spain (Espana),1980,5.710796845432559,,,,,,,,,,,,,19.9076251983643
27,1,Spain (Espana),1981,5.759925700636869,,,,,,,,,,,,,19.1218509674072
28,1,Spain (Espana),1982,5.82526434969473,,,,,,,,,,,,,19.204309463501
29,1,Spain (Espana),1983,5.89353054191548,,,,,,,,,,,,,18.4446907043457
30,1,Spain (Espana),1984,6.00421320401202,,,,,,,,,,,,,16.782161712646502
31,1,Spain (Espana),1985,6.11639515872139,,,,,,,,,,,,,17.4106369018555
32,1,Spain (Espana),1986,6.49650113918345,,,,,,,,,,,,,17.960134506225604
33,1,Spain (Espana),1987,6.87817745432109,,,,,,,,,,,,,19.2979774475098
34,1,Spain (Espana),1988,7.24293050409147,,,,,,,,,,,,,20.8252849578857
35,1,Spain (Espana),1989,7.60854041702371,,,,,,,,,,,,,22.475641250610398
36,1,Spain (Espana),1990,7.79491556402412,,,,,,,,,,,,,23.356416702270497
37,1,Spain (Espana),1991,7.9784350816061504,,,,,,,,,,,,,23.146408081054698
38,1,Spain (Espana),1992,7.83490396438071,,,,,,,,,,,,,22.4360275268555
39,1,Spain (Espana),1993,7.692087626191619,,,,,,,,,,,,,20.3748607635498
40,1,Spain (Espana),1994,7.88988877759256,,,,,,,,,,,,,20.2575531005859
41,1,Spain (Espana),1995,8.0948298742212,,,,,,,,,,,,,21.206729888915998
42,1,Spain (Espana),1996,8.32404992267834,,,,,,,,,,,,,
43,1,Spain (Espana),1997,8.670379542786879,,,,,,,,,,,,,
44,2,Andalucia,1955,1.68873183014256,,,,,,,,,,,,,
45,2,Andalucia,1956,1.75849753289657,,,,,,,,,,,,,
46,2,Andalucia,1957,1.8276206972393998,,,,,,,,,,,,,
47,2,Andalucia,1958,1.85275629430933,,,,,,,,,,,,,
48,2,Andalucia,1959,1.87803484718652,,,,,,,,,,,,,
49,2,Andalucia,1960,2.0101399600114296,,,,,,,,,,,,,
50,2,Andalucia,1961,2.12917747377702,27.719999313354503,2.77999997138977,18.4500007629395,6.96999979019165,36.6300010681152,7.449999809265139,,,,,,,
51,2,Andalucia,1962,2.28034844571473,,,,,,,,,,,,,
52,2,Andalucia,1963,2.43101972608831,27.1299991607666,2.5499999523162797,18.1000003814697,7.73000001907349,37.6699981689453,6.82000017166138,,,,,,,
53,2,Andalucia,1964,2.50885458681727,,,,,,,924.4030151367191,3028.12719726562,129.512100219727,48.9593620300293,24.9379730224609,,17.401494979858402
54,2,Andalucia,1965,2.5846900275284104,24.5200004577637,2.6500000953674303,18.1800003051758,8.550000190734862,38.319999694824205,7.78000020980835,899.348999023438,3036.81640625,136.179748535156,51.777217864990206,25.7527732849121,,18.3089637756348
55,2,Andalucia,1966,2.69444434855945,,,,,,,874.7876586914059,3049.4423828125,143.5947265625,54.983226776123,26.631202697753896,,18.4299926757812
56,2,Andalucia,1967,2.8023422053799396,21.8700008392334,2.6500000953674303,18.2199993133545,8.53999996185303,39.0800018310547,9.64999961853027,850.710571289062,3072.63598632812,152.235733032227,58.610378265380895,27.6725540161133,,19.115657806396502
57,2,Andalucia,1968,2.98736079765435,,,,,,,827.109252929688,3086.955078125,174.595489501953,62.4910278320312,28.295471191406197,,20.608486175537102
58,2,Andalucia,1969,3.17909177525729,19.729999542236303,3.24000000953674,18.4300003051758,8.85999965667725,39.22999954223629,10.520000457763699,803.975463867188,3100.572265625,197.274108886719,66.7777633666992,30.383569717407198,68.5100021362305,22.055589675903303
59,2,Andalucia,1970,3.35432726531259,,,,,,,,,,,,,23.313762664794897
60,2,Andalucia,1971,3.52292206586344,,,,,,,,,,,,,22.317508697509798
61,2,Andalucia,1972,3.75621265018031,,,,,,,,,,,,,22.1272926330566
62,2,Andalucia,1973,3.98771781234937,,,,,,,,,,,,,21.8019485473633
63,2,Andalucia,1974,4.05184220872719,,,,,,,,,,,,,23.646896362304698
64,2,Andalucia,1975,4.11218219878026,,,,,,,,,,,,,22.7574157714844
65,2,Andalucia,1976,4.22179356400403,,,,,,,,,,,,,21.5302619934082
66,2,Andalucia,1977,4.3316908408423505,,,,,,,,,,,,,18.8983554840088
67,2,Andalucia,1978,4.3051986890464295,,,,,,,,,,,,,19.8129272460938
68,2,Andalucia,1979,4.226935178816101,,,,,,,,,,,,,19.6916809082031
69,2,Andalucia,1980,4.21151120606166,,,,,,,,,,,,,20.9232215881348
70,2,Andalucia,1981,4.20701245654143,,,,,,,,,,,,,21.8307266235352
71,2,Andalucia,1982,4.24907153689906,,,,,,,,,,,,,22.185377120971697
72,2,Andalucia,1983,4.29163096258212,,,,,,,,,,,,,21.1268634796143
73,2,Andalucia,1984,4.3586833379637095,,,,,,,,,,,,,19.9248065948486
74,2,Andalucia,1985,4.42659257650716,,,,,,,,,,,,,20.382495880127
75,2,Andalucia,1986,4.66323891764741,,,,,,,,,,,,,19.3726501464844
76,2,Andalucia,1987,4.90067107988677,,,,,,,,,,,,,20.4932041168213
77,2,Andalucia,1988,5.15959717075813,,,,,,,,,,,,,23.358566284179698
78,2,Andalucia,1989,5.41773787637126,,,,,,,,,,,,,25.7622928619385
79,2,Andalucia,1990,5.585261162128901,,,,,,,,,,,,,28.3183250427246
80,2,Andalucia,1991,5.74921447527269,,,,,,,,,,,,,26.49245262146
